Distance Squared = 4.474407, compared to 6.091024
Distance Squared = 3.716447, compared to 6.091024
Distance Squared = 4.542944, compared to 6.091024
Distance Squared = 2.338580, compared to 6.091024
Distance Squared = 1.047917, compared to 6.091024
Distance Squared = 0.566982, compared to 6.091024
Distance Squared = 1.688635, compared to 6.091024
Distance Squared = 3.944162, compared to 6.091024
Distance Squared = 5.031664, compared to 6.091024
Distance Squared = 4.080640, compared to 6.091024
Distance Squared = 5.377150, compared to 6.091024
Distance Squared = 5.163759, compared to 6.091024
Distance Squared = 0.994690, compared to 6.091024
Distance Squared = 4.072817, compared to 6.091024
Distance Squared = 1.286015, compared to 6.091024
Distance Squared = 1.932081, compared to 6.091024
Distance Squared = 0.115025, compared to 6.091024
Distance Squared = 1.063018, compared to 6.091024
Distance Squared = 1.665694, compared to 6.091024
Distance Squared = 5.588821, compared to 6.091024
Distance Squared = 4.125491, compared to 6.091024
Distance Squared = 0.940700, compared to 6.091024
Distance Squared = 3.731593, compared to 6.091024
Distance Squared = 1.742815, compared to 6.091024
Distance Squared = 5.739179, compared to 6.091024
Distance Squared = 0.686872, compared to 6.091024
Distance Squared = 4.719330, compared to 6.091024
Distance Squared = 2.616800, compared to 6.091024
Distance Squared = 4.057130, compared to 6.091024
Distance Squared = 1.099440, compared to 6.091024
Distance Squared = 0.500187, compared to 6.091024
Distance Squared = 2.425519, compared to 6.091024
Distance Squared = 1.808663, compared to 6.091024
Distance Squared = 2.089143, compared to 6.091024
Distance Squared = 3.378009, compared to 6.091024
Distance Squared = 1.841188, compared to 6.091024
Distance Squared = 3.573504, compared to 6.091024
Distance Squared = 2.119885, compared to 6.091024
Distance Squared = 4.840477, compared to 6.091024
Distance Squared = 1.627840, compared to 6.091024
Distance Squared = 4.888679, compared to 6.091024
Distance Squared = 5.779298, compared to 6.091024
Distance Squared = 0.445763, compared to 6.091024
Distance Squared = 1.036255, compared to 6.091024
Distance Squared = 4.335169, compared to 6.091024
Distance Squared = 0.495901, compared to 6.091024
Distance Squared = 2.549538, compared to 6.091024
Distance Squared = 5.225907, compared to 6.091024
Distance Squared = 3.875796, compared to 6.091024
Distance Squared = 2.144088, compared to 6.091024
Distance Squared = 2.953731, compared to 6.091024
Distance Squared = 3.831414, compared to 6.091024
Distance Squared = 4.813735, compared to 6.091024
Distance Squared = 4.985335, compared to 6.091024
Distance Squared = 5.184935, compared to 6.091024
Distance Squared = 0.022239, compared to 6.091024
Distance Squared = 2.203724, compared to 6.091024
Distance Squared = 5.934506, compared to 6.091024
Distance Squared = 5.378513, compared to 6.091024
Distance Squared = 4.762920, compared to 6.091024
